Ctyname,stname,ststatus,stcode,ctycode,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Cases2020,cases2021,cases2022,cases2023
Fayette County,Alabama,Low Incidence,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,0
Franklin County,Alabama,Low Incidence,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Geneva County,Alabama,Low Incidence,1,61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
Greene County,Alabama,Low Incidence,1,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hale County,Alabama,Low Incidence,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Henry County,Alabama,Low Incidence,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Houston County,Alabama,Low Incidence,1,69,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0
Jackson County,Alabama,Low Incidence,1,71,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0
Jefferson County,Alabama,Low Incidence,1,73,4,2,3,2,0,2,2,0,0,0,0,3,0,4,3,2,4,4,3,0,6,1,1
Lamar County,Alabama,Low Incidence,1,75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
Lauderdale County,Alabama,Low Incidence,1,77,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Lawrence County,Alabama,Low Incidence,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee County,Alabama,Low Incidence,1,81,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,1,1,2,0,4,0,1
Limestone County,Alabama,Low Incidence,1,83,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,1,0
Lowndes County,Alabama,Low Incidence,1,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Macon County,Alabama,Low Incidence,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,Alabama,Low Incidence,1,89,1,3,3,0,3,4,0,2,1,0,3,5,3,5,1,1,3,7,5,2,3,3,1
Marengo County,Alabama,Low Incidence,1,91,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0
Marion County,Alabama,Low Incidence,1,93,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Marshall County,Alabama,Low Incidence,1,95,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,2,0,0,0,2,0,3
Mobile County,Alabama,Low Incidence,1,97,3,2,0,0,0,3,0,3,0,0,0,5,5,1,5,4,3,0,2,1,2,3,2
Monroe County,Alabama,Low Incidence,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Montgomery County,Alabama,Low Incidence,1,101,2,2,0,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,3,0,2,0,3
Morgan County,Alabama,Low Incidence,1,103,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0
Perry County,Alabama,Low Incidence,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Pickens County,Alabama,Low Incidence,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Pike County,Alabama,Low Incidence,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Randolph County,Alabama,Low Incidence,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell County,Alabama,Low Incidence,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
St. Clair County,Alabama,Low Incidence,1,115,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,1,0,0,1,2
Shelby County,Alabama,Low Incidence,1,117,0,0,0,0,0,0,1,0,0,0,1,2,4,6,2,4,1,0,0,0,2,1,2
Sumter County,Alabama,Low Incidence,1,119,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Talladega County,Alabama,Low Incidence,1,121,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Tallapoosa County,Alabama,Low Incidence,1,123,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0,0,0,1,0,2
Tuscaloosa County,Alabama,Low Incidence,1,125,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3,7,3,6,0,0
Walker County,Alabama,Low Incidence,1,127,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2,0,2,3,1
Washington County,Alabama,Low Incidence,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilcox County,Alabama,Low Incidence,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Winston County,Alabama,Low Incidence,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Aleutians East Borough,Alaska,Low Incidence,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleutians West Census Area,Alaska,Low Incidence,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage Municipality,Alaska,Low Incidence,2,20,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3,3,0,0,2,0
Bethel Census Area,Alaska,Low Incidence,2,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bristol Bay Borough,Alaska,Low Incidence,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chugach Census Area,Alaska,Low Incidence,2,63,,,,,,,,,,,,,,,,,,,,,,,1
Denali Borough,Alaska,Low Incidence,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dillingham Census Area,Alaska,Low Incidence,2,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairbanks North Star Borough,Alaska,Low Incidence,2,90,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1,0,0,0,2,0
Haines Borough,Alaska,Low Incidence,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoonah-Angoon Census Area,Alaska,Low Incidence,2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juneau City and Borough,Alaska,Low Incidence,2,110,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0
Kenai Peninsula Borough,Alaska,Low Incidence,2,122,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4,0,0,0,0,0
Ketchikan Gateway Borough,Alaska,Low Incidence,2,130,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Kodiak Island Borough,Alaska,Low Incidence,2,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kusilvak Census Area,Alaska,Low Incidence,2,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake and Peninsula Borough,Alaska,Low Incidence,2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matanuska-Susitna Borough,Alaska,Low Incidence,2,170,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1,0,0,0,0,0
Nome Census Area,Alaska,Low Incidence,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Slope Borough,Alaska,Low Incidence,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Arctic Borough,Alaska,Low Incidence,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg Borough,Alaska,Low Incidence,2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Wales-Hyder Census Area,Alaska,Low Incidence,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sitka City and Borough,Alaska,Low Incidence,2,220,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Skagway Municipality,Alaska,Low Incidence,2,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeast Fairbanks Census Area,Alaska,Low Incidence,2,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdez-Cordova Census Area,Alaska,Low Incidence,2,261,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrangell City and Borough,Alaska,Low Incidence,2,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakutat City and Borough,Alaska,Low Incidence,2,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yukon-Koyukuk Census Area,Alaska,Low Incidence,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Apache County,Arizona,Low Incidence,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cochise County,Arizona,Low Incidence,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,2,0,0,0,1
Coconino County,Arizona,Low Incidence,4,5,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,3,2,0,0,0,0,1
Gila County,Arizona,Low Incidence,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1
Graham County,Arizona,Low Incidence,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Greenlee County,Arizona,Low Incidence,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Paz County,Arizona,Low Incidence,4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maricopa County,Arizona,Low Incidence,4,13,2,3,1,10,7,6,0,8,3,0,7,3,16,10,2,5,14,1,1,0,0,0,0
Mohave County,Arizona,Low Incidence,4,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,0,0,0,0,1
Navajo County,Arizona,Low Incidence,4,17,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
Pima County,Arizona,Low Incidence,4,19,0,1,1,2,3,2,0,0,4,0,4,3,7,1,7,3,3,1,7,0,1,6,6
Pinal County,Arizona,Low Incidence,4,21,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,3
Santa Cruz County,Arizona,Low Incidence,4,23,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Yavapai County,Arizona,Low Incidence,4,25,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1,0,0,0,0,2
Yuma County,Arizona,Low Incidence,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1
Arkansas County,Arkansas,Low Incidence,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley County,Arkansas,Low Incidence,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Baxter County,Arkansas,Low Incidence,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton County,Arkansas,Low Incidence,5,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Boone County,Arkansas,Low Incidence,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley County,Arkansas,Low Incidence,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,Arkansas,Low Incidence,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll County,Arkansas,Low Incidence,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicot County,Arkansas,Low Incidence,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,Arkansas,Low Incidence,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Clay County,Arkansas,Low Incidence,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cleburne County,Arkansas,Low Incidence,5,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland County,Arkansas,Low Incidence,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Columbia County,Arkansas,Low Incidence,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conway County,Arkansas,Low Incidence,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Craighead County,Arkansas,Low Incidence,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford County,Arkansas,Low Incidence,5,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden County,Arkansas,Low Incidence,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross County,Arkansas,Low Incidence,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas County,Arkansas,Low Incidence,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Desha County,Arkansas,Low Incidence,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew County,Arkansas,Low Incidence,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulkner County,Arkansas,Low Incidence,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Franklin County,Arkansas,Low Incidence,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fulton County,Arkansas,Low Incidence,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garland County,Arkansas,Low Incidence,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
Grant County,Arkansas,Low Incidence,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene County,Arkansas,Low Incidence,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hempstead County,Arkansas,Low Incidence,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Spring County,Arkansas,Low Incidence,5,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard County,Arkansas,Low Incidence,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence County,Arkansas,Low Incidence,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Izard County,Arkansas,Low Incidence,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jackson County,Arkansas,Low Incidence,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Arkansas,Low Incidence,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Johnson County,Arkansas,Low Incidence,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Lafayette County,Arkansas,Low Incidence,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence County,Arkansas,Low Incidence,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Lee County,Arkansas,Low Incidence,5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,Arkansas,Low Incidence,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little River County,Arkansas,Low Incidence,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,Arkansas,Low Incidence,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonoke County,Arkansas,Low Incidence,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Madison County,Arkansas,Low Incidence,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County,Arkansas,Low Incidence,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller County,Arkansas,Low Incidence,5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi County,Arkansas,Low Incidence,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Monroe County,Arkansas,Low Incidence,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Arkansas,Low Incidence,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nevada County,Arkansas,Low Incidence,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newton County,Arkansas,Low Incidence,5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouachita County,Arkansas,Low Incidence,5,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry County,Arkansas,Low Incidence,5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips County,Arkansas,Low Incidence,5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike County,Arkansas,Low Incidence,5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poinsett County,Arkansas,Low Incidence,5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County,Arkansas,Low Incidence,5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pope County,Arkansas,Low Incidence,5,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Prairie County,Arkansas,Low Incidence,5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pulaski County,Arkansas,Low Incidence,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1
Randolph County,Arkansas,Low Incidence,5,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Francis County,Arkansas,Low Incidence,5,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saline County,Arkansas,Low Incidence,5,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott County,Arkansas,Low Incidence,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Searcy County,Arkansas,Low Incidence,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sebastian County,Arkansas,Low Incidence,5,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevier County,Arkansas,Low Incidence,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharp County,Arkansas,Low Incidence,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Stone County,Arkansas,Low Incidence,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Union County,Arkansas,Low Incidence,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Buren County,Arkansas,Low Incidence,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,Arkansas,Low Incidence,5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0
White County,Arkansas,Low Incidence,5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Woodruff County,Arkansas,Low Incidence,5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yell County,Arkansas,Low Incidence,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda County,California,Low Incidence,6,1,3,7,2,0,5,3,3,6,3,3,2,4,0,1,8,12,13,2,17,6,4,4,6
Alpine County,California,Low Incidence,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador County,California,Low Incidence,6,5,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0
Butte County,California,Low Incidence,6,7,1,3,2,2,0,1,0,2,3,2,0,1,0,2,0,3,0,0,1,0,0,1,1
Calaveras County,California,Low Incidence,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2
Colusa County,California,Low Incidence,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa County,California,Low Incidence,6,13,5,3,4,0,4,1,0,1,3,1,3,1,4,3,5,8,10,9,4,2,6,2,2
Del Norte County,California,Low Incidence,6,15,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
El Dorado County,California,Low Incidence,6,17,0,0,0,3,3,3,2,0,3,2,0,2,2,1,2,3,1,0,0,0,1,5,1
Fresno County,California,Low Incidence,6,19,0,1,0,0,0,1,0,2,1,3,0,4,0,0,1,1,0,1,1,0,1,1,0
Glenn County,California,Low Incidence,6,21,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
